ビジネスポリシー	説明
各サービススタッフの要望に合わせたスケジュール管理を行う	サービススタッフの柔軟な働き方に対応するための基本的なポリシー
複数の小規模事業所を一元管理する	訪問介護事業で複数の事業所を運営する場合、一元管理を行う事業所を設置する必要がある
サービススタッフの働き方は出来るだけ自由に設定できる	多様な働き方に対応し、スタッフの満足度を高める
サービススタッフのスキル別に出来る仕事を適切に配分する	介護会員の要望とスタッフのスキルのマッチングにより、サービス品質を確保する
介護会員の要望に合わせたスケジュール調整を行う	介護会員のニーズを優先し、柔軟なスケジュール調整を実施する
ビジネスパラメータの組合せに柔軟に対応できる業務形態にする	様々な条件の組み合わせに対応する柔軟な業務設計が必要
法規への対応を確保する	介護業界の様々な法規の中で運営する必要がある
介護費用の計算と請求及び回収の仕組みを持つ	月末に介護費用の計算と請求及び回収を行う業務が必要
介護会員の属性を多角的に管理する	介護会員の名前、連絡先などの様々な属性を管理し、きめ細かいサービス提供を実現する
訪問介護の実施記録を管理する	訪問介護業務の実績を記録し、品質管理と請求根拠を提供する
