業務	BUC	価値受益アクター	価値提供アクター	利用リソース	情報	外部システム	システム化有無	説明
介護会員管理業務	介護会員登録・管理フロー	スケジュール計画担当者	介護会員管理担当者		介護会員情報		〇	介護会員の属性情報（名前、連絡先、介護の状況など）を登録・管理する
スタッフ管理業務	スタッフ登録・管理フロー	スケジュール計画担当者	スタッフ管理担当者		スタッフ情報		〇	サービススタッフの基本情報を登録・管理する
スタッフ管理業務	スタッフスキル管理フロー	サービススタッフ	スタッフ管理担当者,サービススタッフ		スタッフ情報		〇	スタッフのスキルを登録・管理し、適切な業務配分に活用する
スタッフ管理業務	スタッフ働き方設定フロー	サービススタッフ	スタッフ管理担当者		スタッフ情報		〇	スタッフの柔軟な働き方希望を設定・管理する
スケジュール管理業務	スケジュール計画フロー	介護会員	スケジュール計画担当者		スケジュール情報,介護会員情報,スタッフ情報		〇	介護会員の要望とスタッフのスキル・働き方を考慮してスケジュールを計画する
スケジュール管理業務	スケジュール調整フロー	介護会員	スケジュール計画担当者		スケジュール情報		〇	変更要望や状況変化に対応してスケジュールを調整する
訪問介護実施業務	訪問介護実施フロー	介護会員	サービススタッフ	訪問介護用医療機器,訪問介護用具	スケジュール情報,実施記録情報		〇	計画されたスケジュール通りに訪問介護サービスを実施する
訪問介護実施業務	実施記録作成フロー	事務担当者	サービススタッフ		実施記録情報,スタッフ情報		〇	訪問介護の実施内容、時間、対応内容を記録する
請求業務	介護費用計算フロー	介護会員	事務担当者		実施記録情報,費用情報		〇	実施記録に基づいて月別の介護費用を計算する
請求業務	請求フロー	介護会員	事務担当者		費用情報,介護会員情報		〇	計算された介護費用を介護会員に請求する
請求業務	回収管理フロー	事業所管理者	事務担当者		費用情報,請求情報	決済システム	〇	支払い回収状況を管理し、事業所の売上を把握する
