業務	BUC	価値受益アクター	価値提供アクター	アクティビティ	UC	説明
介護会員管理	介護会員登録フロー	事業所管理者	事業所管理者	介護会員情報入力	介護会員登録	介護会員の名前、連絡先などの属性情報を新規登録する
介護会員管理	介護会員登録フロー	事業所管理者	事業所管理者	介護会員状況分類設定	介護会員分類設定	介護会員の状況を細かく分類し設定する
介護会員管理	介護会員登録フロー	事業所管理者	事業所管理者	介護会員承認	介護会員承認	介護会員の入会申込を審査し承認する
介護会員管理	介護会員情報更新フロー	事業所管理者	事業所管理者	介護会員属性更新	介護会員情報更新	介護会員の属性情報や状況を更新管理する
介護会員管理	介護会員情報更新フロー	事業所管理者	事業所管理者	介護会員状態変更	介護会員状態変更	介護会員の状態（休止、退会等）を変更する
訪問介護計画	訪問介護スケジュール作成フロー	スケジュール調整担当者	スケジュール調整担当者、サービススタッフ	スタッフ情報確認	スタッフスキル照会	サービススタッフのスキルや働き方の希望を確認する
訪問介護計画	訪問介護スケジュール作成フロー	スケジュール調整担当者	スケジュール調整担当者、サービススタッフ	介護会員要望確認	介護会員要望照会	介護会員の訪問介護の要望を確認する
訪問介護計画	訪問介護スケジュール作成フロー	スケジュール調整担当者	スケジュール調整担当者、サービススタッフ	訪問計画立案	訪問介護計画作成	効率的な訪問スケジュールを計画作成する
訪問介護計画	訪問介護スケジュール作成フロー	スケジュール調整担当者	スケジュール調整担当者、サービススタッフ	計画承認申請	訪問介護計画承認申請	作成した訪問介護計画を承認待ちにする
訪問介護計画	訪問介護スケジュール作成フロー	事業所管理者	事業所管理者	計画承認	訪問介護計画承認	訪問介護計画を承認し実施可能な状態にする
訪問介護計画	訪問介護スケジュール調整フロー	スケジュール調整担当者	スケジュール調整担当者、サービススタッフ、介護会員	調整要求受付	スケジュール調整要求登録	介護会員の要望変更やスタッフの都合変更を受け付ける
訪問介護計画	訪問介護スケジュール調整フロー	スケジュール調整担当者	スケジュール調整担当者、サービススタッフ、介護会員	スケジュール再調整	訪問介護計画更新	要望に応じてスケジュールを調整し計画を更新する
訪問介護実施	訪問介護記録登録フロー	サービススタッフ	サービススタッフ	訪問介護実施開始	訪問介護実施開始	訪問介護サービスの実施を開始する
訪問介護実施	訪問介護記録登録フロー	サービススタッフ	サービススタッフ	訪問介護記録作成	訪問介護記録登録	訪問介護の実施内容を記録として作成する
訪問介護実施	訪問介護記録登録フロー	サービススタッフ	サービススタッフ	訪問介護記録提出	訪問介護記録承認申請	作成した訪問介護記録を承認待ちにする
訪問介護実施	訪問介護記録登録フロー	事業所管理者	事業所管理者	訪問介護記録承認	訪問介護記録承認	訪問介護記録を確認し承認する
スタッフ教育	新人スタッフ教育フロー	教育担当者	教育担当者、サービススタッフ	教育対象認定	教育対象登録	新人スタッフを教育対象として登録する
スタッフ教育	新人スタッフ教育フロー	教育担当者	教育担当者、サービススタッフ	教育実施	教育記録登録	新人スタッフに対して必要な教育を実施し記録する
スタッフ教育	新人スタッフ教育フロー	教育担当者	教育担当者、サービススタッフ	試用期間開始	試用期間設定	教育完了後の試用期間を設定する
スタッフ教育	新人スタッフ教育フロー	教育担当者	教育担当者、サービススタッフ	独り立ち認定	独り立ち承認	試用期間終了後に独り立ちを認定する
スタッフ教育	新人スタッフ教育フロー	教育担当者	教育担当者、サービススタッフ	指導者認定	指導者承認	経験を積んだスタッフを指導者として認定する
介護費用管理	介護費用計算フロー	請求担当者	請求担当者	訪問実績集計	訪問介護実績照会	訪問介護の実施記録を集計する
介護費用管理	介護費用計算フロー	請求担当者	請求担当者	費用計算	介護費用計算	訪問介護の実施記録に基づいて介護費用を計算する
介護費用管理	介護費用計算フロー	請求担当者	請求担当者	請求データ作成	請求データ作成	計算した費用を請求データとして作成する
介護費用管理	介護費用請求フロー	請求担当者	請求担当者	請求書発行	請求書発行	計算された介護費用を介護会員に請求書として発行する
介護費用管理	介護費用請求フロー	請求担当者	請求担当者	請求状態更新	請求状態更新	請求書発行後に請求済みの状態に更新する
介護費用管理	介護費用回収フロー	請求担当者	請求担当者	入金確認	入金確認	請求した介護費用の入金を確認する
介護費用管理	介護費用回収フロー	請求担当者	請求担当者	入金記録	入金記録登録	入金を記録し回収管理する
介護費用管理	介護費用回収フロー	請求担当者	請求担当者	未回収管理	未回収管理	未回収の請求を管理し対応する
スタッフ管理	サービススタッフ登録フロー	事業所管理者	事業所管理者	スタッフ基本情報入力	サービススタッフ登録	サービススタッフの基本情報、スキル、働き方の希望を登録する
スタッフ管理	サービススタッフ登録フロー	事業所管理者	事業所管理者	働き方分類設定	働き方分類設定	サービススタッフの働き方を細かく分類し設定する
スタッフ管理	サービススタッフ登録フロー	事業所管理者	事業所管理者	スキル分類設定	スキル分類設定	サービススタッフのスキルを分類し設定する
スタッフ管理	サービススタッフ情報更新フロー	事業所管理者	事業所管理者、サービススタッフ	スタッフ情報変更	サービススタッフ情報更新	サービススタッフのスキルや働き方の希望などの情報を更新する
スタッフ管理	サービススタッフ情報更新フロー	事業所管理者	事業所管理者、サービススタッフ	スタッフスキル更新	スタッフスキル更新	サービススタッフのスキル情報を更新する
事業所管理	事業所一元管理フロー	事業所管理者	事業所管理者	事業所情報登録	事業所登録	小規模訪問介護事業所の情報を登録する
事業所管理	事業所一元管理フロー	事業所管理者	事業所管理者	事業所統合管理	事業所統合管理	複数の小規模訪問介護事業所を一元的に管理する
事業所管理	事業所一元管理フロー	事業所管理者	事業所管理者	事業所情報照会	事業所情報照会	複数の事業所の情報を一元的に照会する
