業務	BUC	価値受益アクター	価値提供アクター	アクティビティ	UC	情報	条件	外部システム	説明
介護会員管理	介護会員登録フロー	管理者	管理者	介護会員情報入力	介護会員登録	介護会員			介護会員の名前、連絡先などの属性情報を新規登録する
介護会員管理	介護会員登録フロー	管理者	管理者	介護会員状況分類設定	介護会員分類設定	介護会員			介護会員の状況を細かく分類し設定する
介護会員管理	介護会員登録フロー	管理者	管理者	介護会員承認	介護会員承認	介護会員			介護会員の入会申込を審査し承認する
介護会員管理	介護会員情報更新フロー	管理者	管理者	介護会員属性更新	介護会員情報更新	介護会員			介護会員の属性情報や状況を更新管理する
介護会員管理	介護会員情報更新フロー	管理者	管理者	介護会員状態変更	介護会員状態変更	介護会員			介護会員の状態（休止、退会等）を変更する
訪問介護計画	訪問介護スケジュール作成フロー	管理者	管理者、サービススタッフ	スタッフ情報確認	スタッフスキル照会	サービススタッフ			サービススタッフのスキルや働き方の希望を確認する
訪問介護計画	訪問介護スケジュール作成フロー	管理者	管理者、サービススタッフ	介護会員要望確認	介護会員要望照会	介護会員			介護会員の訪問介護の要望を確認する
訪問介護計画	訪問介護スケジュール作成フロー	管理者	管理者、サービススタッフ	訪問計画立案	訪問介護計画作成	訪問介護スケジュール、サービススタッフ、介護会員、介護施設			効率的な訪問スケジュールを計画作成する
訪問介護計画	訪問介護スケジュール作成フロー	管理者	管理者、サービススタッフ	計画承認申請	訪問介護計画承認申請	訪問介護スケジュール			作成した訪問介護計画を承認待ちにする
訪問介護計画	訪問介護スケジュール作成フロー	管理者	管理者	計画承認	訪問介護計画承認	訪問介護スケジュール			訪問介護計画を承認し実施可能な状態にする
訪問介護計画	訪問介護スケジュール調整フロー	管理者	管理者、サービススタッフ、介護会員	調整要求受付	スケジュール調整要求登録	訪問介護スケジュール、介護会員、サービススタッフ			介護会員の要望変更やスタッフの都合変更を受け付ける
