コンテキスト	状態モデル	状態	遷移UC	遷移先状態	説明
介護会員管理	介護会員状態		介護会員情報を登録する	見込み	介護会員の契約状態を管理する。見込み段階から契約、必要に応じた休止、最終的な解約までのライフサイクルを把握し、適切なサービス提供と契約管理を行うために必要
介護会員管理	介護会員状態	見込み	介護会員状態を更新する	契約中	介護会員の契約状態を管理する。見込み段階から契約、必要に応じた休止、最終的な解約までのライフサイクルを把握し、適切なサービス提供と契約管理を行うために必要
介護会員管理	介護会員状態	契約中	介護会員状態を更新する	休止中	介護会員の契約状態を管理する。見込み段階から契約、必要に応じた休止、最終的な解約までのライフサイクルを把握し、適切なサービス提供と契約管理を行うために必要
介護会員管理	介護会員状態	休止中	介護会員状態を更新する	契約中	介護会員の契約状態を管理する。見込み段階から契約、必要に応じた休止、最終的な解約までのライフサイクルを把握し、適切なサービス提供と契約管理を行うために必要
介護会員管理	介護会員状態	契約中	介護会員状態を更新する	解約済み	介護会員の契約状態を管理する。見込み段階から契約、必要に応じた休止、最終的な解約までのライフサイクルを把握し、適切なサービス提供と契約管理を行うために必要
介護会員管理	介護会員状態	休止中	介護会員状態を更新する	解約済み	介護会員の契約状態を管理する。見込み段階から契約、必要に応じた休止、最終的な解約までのライフサイクルを把握し、適切なサービス提供と契約管理を行うために必要
介護会員管理	介護会員状態	解約済み			介護会員の契約状態を管理する。見込み段階から契約、必要に応じた休止、最終的な解約までのライフサイクルを把握し、適切なサービス提供と契約管理を行うために必要
訪問介護スケジュール管理	訪問介護計画状態		訪問介護計画を作成する	計画中	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問介護スケジュール管理	訪問介護計画状態	計画中	訪問介護計画状態を更新する	承認待ち	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問介護スケジュール管理	訪問介護計画状態	承認待ち	訪問介護計画状態を更新する	承認済み	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問介護スケジュール管理	訪問介護計画状態	承認待ち	訪問介護計画状態を更新する	計画中	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問介護スケジュール管理	訪問介護計画状態	承認済み	訪問介護計画状態を更新する	実施中	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問介護スケジュール管理	訪問介護計画状態	実施中	訪問介護計画状態を更新する	完了	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問介護スケジュール管理	訪問介護計画状態	実施中	訪問介護計画状態を更新する	変更中	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問介護スケジュール管理	訪問介護計画状態	変更中	訪問介護計画状態を更新する	承認待ち	介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問介護スケジュール管理	訪問介護計画状態	完了			介護会員ごとの訪問介護計画の進捗を管理する。計画の作成から承認、実施、完了までの各段階を把握し、計画通りのサービス提供と計画変更への対応を実現するために必要
訪問介護スケジュール管理	訪問予定状態		訪問介護計画を作成する	予約済み	個別の訪問介護予定の状態を管理する。スケジュール調整から実際の訪問実施までの進行状況を把握し、サービススタッフと介護会員の双方のスケジュール管理を実現するために必要
訪問介護スケジュール管理	訪問予定状態	予約済み	訪問予定状態を更新する	確定	個別の訪問介護予定の状態を管理する。スケジュール調整から実際の訪問実施までの進行状況を把握し、サービススタッフと介護会員の双方のスケジュール管理を実現するために必要
訪問介護スケジュール管理	訪問予定状態	予約済み	訪問予定状態を更新する	キャンセル	個別の訪問介護予定の状態を管理する。スケジュール調整から実際の訪問実施までの進行状況を把握し、サービススタッフと介護会員の双方のスケジュール管理を実現するために必要
訪問介護スケジュール管理	訪問予定状態	確定	訪問予定状態を更新する	訪問中	個別の訪問介護予定の状態を管理する。スケジュール調整から実際の訪問実施までの進行状況を把握し、サービススタッフと介護会員の双方のスケジュール管理を実現するために必要
訪問介護スケジュール管理	訪問予定状態	確定	訪問予定状態を更新する	キャンセル	個別の訪問介護予定の状態を管理する。スケジュール調整から実際の訪問実施までの進行状況を把握し、サービススタッフと介護会員の双方のスケジュール管理を実現するために必要
訪問介護スケジュール管理	訪問予定状態	訪問中	訪問予定状態を更新する	完了	個別の訪問介護予定の状態を管理する。スケジュール調整から実際の訪問実施までの進行状況を把握し、サービススタッフと介護会員の双方のスケジュール管理を実現するために必要
訪問介護スケジュール管理	訪問予定状態	完了			個別の訪問介護予定の状態を管理する。スケジュール調整から実際の訪問実施までの進行状況を把握し、サービススタッフと介護会員の双方のスケジュール管理を実現するために必要
訪問介護スケジュール管理	訪問予定状態	キャンセル			個別の訪問介護予定の状態を管理する。スケジュール調整から実際の訪問実施までの進行状況を把握し、サービススタッフと介護会員の双方のスケジュール管理を実現するために必要
介護費用管理	請求状態		訪問介護実施記録を登録する	未計算	介護サービスの費用請求の進捗を管理する。サービス実施後の費用計算から請求書発行、入金確認、必要に応じた督促まで、確実な費用回収を実現するために必要
介護費用管理	請求状態	未計算	請求状態を更新する	計算済み	介護サービスの費用請求の進捗を管理する。サービス実施後の費用計算から請求書発行、入金確認、必要に応じた督促まで、確実な費用回収を実現するために必要
介護費用管理	請求状態	計算済み	請求状態を更新する	請求書発行済み	介護サービスの費用請求の進捗を管理する。サービス実施後の費用計算から請求書発行、入金確認、必要に応じた督促まで、確実な費用回収を実現するために必要
