業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	画面要求
介護会員管理業務	介護会員登録・管理フロー		介護会員情報の受付	↓	介護会員情報を受け付ける	情報	介護会員情報			スケジュール計画に必要な介護会員情報を提供する	
介護会員管理業務	介護会員登録・管理フロー		介護会員情報の受付	↓	介護会員情報を受け付ける	画面	介護会員受付画面	アクター	スケジュール計画担当者	スケジュール計画に必要な介護会員情報を提供する	スケジュール計画に必要な介護会員情報を入力・確認できる
介護会員管理業務	介護会員登録・管理フロー		介護会員情報の登録	↓	介護会員情報を登録する	情報	介護会員情報			受け付けた介護会員情報をシステムに登録する	
介護会員管理業務	介護会員登録・管理フロー		介護会員情報の登録	↓	介護会員情報を登録する	条件	介護会員属性多角管理			受け付けた介護会員情報をシステムに登録する	
介護会員管理業務	介護会員登録・管理フロー		介護会員情報の登録	↓	介護会員情報を登録する	画面	介護会員登録画面	アクター	介護会員管理担当者	受け付けた介護会員情報をシステムに登録する	受け付けた介護会員情報を確認して正確性を検証した上でシステムに登録できる
介護会員管理業務	介護会員登録・管理フロー		介護会員情報の管理・更新		介護会員情報を更新する	情報	介護会員情報				
介護会員管理業務	介護会員登録・管理フロー		介護会員情報の管理・更新		介護会員情報を更新する	条件	介護会員属性多角管理				
介護会員管理業務	介護会員登録・管理フロー		介護会員情報の管理・更新		介護会員情報を更新する	画面	介護会員情報管理画面	アクター	介護会員管理担当者		登録済みの介護会員情報を検索・表示し、必要な項目を編集・更新でき、変更履歴を管理できる
介護会員管理業務	介護会員登録・管理フロー		サービス利用開始	↓	サービス利用を開始する	情報	介護会員情報			介護会員がサービス利用を開始する	
介護会員管理業務	介護会員登録・管理フロー		サービス利用開始	↓	サービス利用を開始する	条件	会員要望スケジュール対応			介護会員がサービス利用を開始する	
介護会員管理業務	介護会員登録・管理フロー		サービス利用開始	↓	サービス利用を開始する	画面	サービス利用開始画面	アクター	介護会員管理担当者	介護会員がサービス利用を開始する	情報確認済みの介護会員を検索し、サービス開始の手続きと状態遷移を実行できる
介護会員管理業務	介護会員登録・管理フロー		サービス利用休止		サービス利用を休止する	情報	介護会員情報			介護会員がサービスを休止する	
介護会員管理業務	介護会員登録・管理フロー		サービス利用休止		サービス利用を休止する	条件	会員要望スケジュール対応			介護会員がサービスを休止する	
介護会員管理業務	介護会員登録・管理フロー		サービス利用休止		サービス利用を休止する	画面	サービス利用休止画面	アクター	介護会員管理担当者	介護会員がサービスを休止する	サービス利用中の介護会員を検索し、休止理由や期間を記録して手続きできる
介護会員管理業務	介護会員登録・管理フロー		サービス利用再開		サービス利用を再開する	情報	介護会員情報			介護会員がサービスを再開する	
介護会員管理業務	介護会員登録・管理フロー		サービス利用再開		サービス利用を再開する	条件	会員要望スケジュール対応			介護会員がサービスを再開する	
介護会員管理業務	介護会員登録・管理フロー		サービス利用再開		サービス利用を再開する	画面	サービス利用再開画面	アクター	介護会員管理担当者	介護会員がサービスを再開する	サービス休止中の介護会員を検索し、再開の手続きと状態遷移を実行できる
介護会員管理業務	介護会員登録・管理フロー		サービス終了		サービス終了を処理する	情報	介護会員情報			介護会員のサービス利用を終了する	
介護会員管理業務	介護会員登録・管理フロー		サービス終了		サービス終了を処理する	画面	サービス終了画面	アクター	介護会員管理担当者	介護会員のサービス利用を終了する	サービス利用中の介護会員を検索し、終了理由を記録して最終処理を実行できる
スタッフ管理業務	スタッフ登録・管理フロー		スタッフ基本情報の提供	↓	スタッフ基本情報を提供する	情報	スタッフ情報				
スタッフ管理業務	スタッフ登録・管理フロー		スタッフ基本情報の提供	↓	スタッフ基本情報を提供する	画面	スタッフ情報参照画面	アクター	スケジュール計画担当者		スケジュール計画に必要なスタッフの基本情報を検索・参照できる
スタッフ管理業務	スタッフ登録・管理フロー		スタッフ基本情報の登録	↓	スタッフ基本情報を登録する	情報	スタッフ情報				
スタッフ管理業務	スタッフ登録・管理フロー		スタッフ基本情報の登録	↓	スタッフ基本情報を登録する	画面	スタッフ登録画面	アクター	スタッフ管理担当者		提供されたスタッフ基本情報を入力・確認してシステムに登録できる
スタッフ管理業務	スタッフ登録・管理フロー		スタッフ基本情報の管理		スタッフ基本情報を管理する	情報	スタッフ情報				
スタッフ管理業務	スタッフ登録・管理フロー		スタッフ基本情報の管理		スタッフ基本情報を管理する	画面	スタッフ情報管理画面	アクター	スタッフ管理担当者		登録済みのスタッフ基本情報を検索・表示し、必要な項目を編集・更新でき、変更履歴を管理できる
スタッフ管理業務	スタッフスキル管理フロー		スタッフスキル情報の入力	↓	スタッフスキル情報を入力する	情報	スタッフ情報			自身のスキル情報をシステムに入力する	
スタッフ管理業務	スタッフスキル管理フロー		スタッフスキル情報の入力	↓	スタッフスキル情報を入力する	条件	スタッフスキル別業務配分			自身のスキル情報をシステムに入力する	
スタッフ管理業務	スタッフスキル管理フロー		スタッフスキル情報の入力	↓	スタッフスキル情報を入力する	画面	スキル入力画面	アクター	サービススタッフ	自身のスキル情報をシステムに入力する	自身のスキル情報を詳細に入力・登録でき、複数のスキルを管理できる
スタッフ管理業務	スタッフスキル管理フロー		スタッフスキル情報の管理	↓	スタッフスキル情報を確認する	情報	スタッフ情報			スタッフが入力したスキル情報を確認する	
スタッフ管理業務	スタッフスキル管理フロー		スタッフスキル情報の管理	↓	スタッフスキル情報を確認する	条件	スタッフスキル別業務配分			スタッフが入力したスキル情報を確認する	
スタッフ管理業務	スタッフスキル管理フロー		スタッフスキル情報の管理	↓	スタッフスキル情報を確認する	画面	スキル確認画面	アクター	スタッフ管理担当者	スタッフが入力したスキル情報を確認する	スタッフが入力したスキル情報を検索・表示して詳細を確認できる
スタッフ管理業務	スタッフスキル管理フロー		スタッフスキル情報の認定		スタッフスキル情報を認定する	情報	スタッフ情報			確認済みのスキル情報を認定する	
スタッフ管理業務	スタッフスキル管理フロー		スタッフスキル情報の認定		スタッフスキル情報を認定する	条件	スタッフスキル別業務配分			確認済みのスキル情報を認定する	
スタッフ管理業務	スタッフスキル管理フロー		スタッフスキル情報の認定		スタッフスキル情報を認定する	画面	スキル認定画面	アクター	スタッフ管理担当者	確認済みのスキル情報を認定する	確認済みのスキル情報に対して認定判定を実行し、認定結果を記録できる
スタッフ管理業務	スタッフ働き方設定フロー		スタッフ働き方希望の設定	↓	スタッフ働き方希望を設定する	情報	スタッフ情報			柔軟な働き方希望を設定する	
スタッフ管理業務	スタッフ働き方設定フロー		スタッフ働き方希望の設定	↓	スタッフ働き方希望を設定する	条件	スタッフ働き方柔軟設定			柔軟な働き方希望を設定する	
スタッフ管理業務	スタッフ働き方設定フロー		スタッフ働き方希望の設定	↓	スタッフ働き方希望を設定する	画面	働き方設定画面	アクター	サービススタッフ	柔軟な働き方希望を設定する	柔軟な働き方希望を詳細に設定・入力でき、複数の条件を組み合わせて管理できる
スタッフ管理業務	スタッフ働き方設定フロー		スタッフ働き方の審査	↓	スタッフ働き方を審査する	情報	スタッフ情報			設定された働き方希望を審査する	
スタッフ管理業務	スタッフ働き方設定フロー		スタッフ働き方の審査	↓	スタッフ働き方を審査する	条件	スタッフ働き方柔軟設定			設定された働き方希望を審査する	
スタッフ管理業務	スタッフ働き方設定フロー		スタッフ働き方の審査	↓	スタッフ働き方を審査する	画面	働き方審査画面	アクター	スタッフ管理担当者	設定された働き方希望を審査する	設定された働き方希望の実現可能性を判定し、審査結果を記録できる
スタッフ管理業務	スタッフ働き方設定フロー		スタッフ働き方の承認	↓	スタッフ働き方を承認する	情報	スタッフ情報			審査済みの働き方を承認する	
スタッフ管理業務	スタッフ働き方設定フロー		スタッフ働き方の承認	↓	スタッフ働き方を承認する	条件	スタッフ働き方柔軟設定			審査済みの働き方を承認する	
スタッフ管理業務	スタッフ働き方設定フロー		スタッフ働き方の承認	↓	スタッフ働き方を承認する	画面	働き方承認画面	アクター	スタッフ管理担当者	審査済みの働き方を承認する	審査済みの働き方を確認して最終承認判定を実行し、スタッフへの通知内容を決定できる
