コンテキスト	条件	条件の説明	バリエーション	状態モデル
訪問介護サービス	サービススタッフスキル適合条件	サービススタッフのスキルレベルと介護会員の要求するサービス内容が一致すること	サービススタッフのスキル、介護会員の状況、サービス種別	介護会員状態
訪問介護サービス	介護会員要望適合条件	介護会員の希望する訪問時間帯・曜日・頻度に合致すること	介護会員の状況、サービス種別	介護会員状態、訪問介護計画状態
訪問介護サービス	サービススタッフ勤務可能条件	サービススタッフの希望勤務時間・曜日・エリアに合致すること	サービススタッフの働き方	サービススタッフ状態、勤務スケジュール状態
訪問介護サービス	事業所管轄条件	訪問先の介護施設が管理事業所の管轄範囲内であること	事業所タイプ、介護施設分類	事業所状態、介護施設状態
訪問介護サービス	介護施設分類条件	介護会員の状況に応じた施設分類が適切に割り当てられていること	介護施設分類、介護会員の状況	介護会員状態
訪問介護サービス	働き方分類条件	サービススタッフの雇用形態・勤務パターンが適切に分類されていること	サービススタッフの働き方	サービススタッフ状態
訪問介護サービス	介護会員状況分類条件	介護会員の要介護度や身体状況が適切に分類されていること	介護会員の状況	介護会員状態
訪問介護サービス	法規準拠条件	介護保険法や労働基準法などの関連法規に準拠していること	サービススタッフの働き方、サービス種別、介護会員の状況	訪問介護計画状態、勤務スケジュール状態
訪問介護サービス	費用計算適合条件	提供したサービス内容と介護報酬基準が合致すること	サービス種別、介護会員の状況、請求先区分	請求状態、訪問予定状態
訪問介護サービス	ビジネスパラメータ組合せ条件	介護施設分類・働き方分類・介護会員状況分類の組合せが業務上有効であること	介護施設分類、サービススタッフの働き方、介護会員の状況	介護施設状態、サービススタッフ状態、介護会員状態
